name,season,age,actual_war,predicted_war,error,abs_error,yr_ahead
Jake Fraley,2023,28,0.8,1.15,0.35,0.35,1
Jake Fraley,2024,29,0.3,1.13,0.83,0.83,2
Jake Fraley,2025,30,0.3,1.06,0.76,0.76,3
Jake Lamb,2023,32,0.1,1.44,1.34,1.34,1
Jake Marisnick,2023,32,0.4,0.79,0.39,0.39,1
Jake Marisnick,2023,32,0.4,0.79,0.39,0.39,1
Jake McCarthy,2023,25,0.4,1.72,1.32,1.32,1
Jake McCarthy,2024,26,1.6,1.71,0.11,0.11,2
Jake Meyers,2023,27,1.5,0.83,-0.67,0.67,1
Jake Meyers,2024,28,1.5,0.79,-0.71,0.71,2
Jake Meyers,2025,29,2.4,0.75,-1.65,1.65,3
James McCann,2023,33,0.5,1.11,0.61,0.61,1
James McCann,2024,34,0.7,0.92,0.22,0.22,2
James McCann,2025,35,1.0,0.85,-0.15,0.15,3
Jason Heyward,2023,33,1.9,1.32,-0.58,0.58,1
Jason Heyward,2024,34,1.1,1.37,0.27,0.27,2
Javier BÃ¡ez,2023,30,0.8,1.77,0.97,0.97,1
Javier BÃ¡ez,2025,32,1.9,1.72,-0.18,0.18,3
Jazz Chisholm Jr.,2023,25,1.0,2.0,1.0,1.0,1
Jazz Chisholm Jr.,2024,26,2.9,1.82,-1.08,1.08,2
Jazz Chisholm Jr.,2025,27,4.2,1.66,-2.54,2.54,3
Jeff McNeil,2023,31,2.4,2.63,0.23,0.23,1
Jeff McNeil,2024,32,1.5,2.16,0.66,0.66,2
Jeff McNeil,2025,33,2.0,2.07,0.07,0.07,3
Jeimer Candelario,2023,29,3.3,1.44,-1.86,1.86,1
Jesse Winker,2024,30,1.9,2.25,0.35,0.35,2
JesÃºs SÃ¡nchez,2023,25,1.5,1.64,0.14,0.14,1
JesÃºs SÃ¡nchez,2024,26,1.0,1.56,0.56,0.56,2
JesÃºs SÃ¡nchez,2025,27,1.3,1.45,0.15,0.15,3
Joc Pederson,2023,31,0.7,1.66,0.96,0.96,1
Joc Pederson,2024,32,2.8,1.81,-0.99,0.99,2
Joey Bart,2024,27,2.2,0.98,-1.22,1.22,2
Joey Bart,2025,28,0.5,0.95,0.45,0.45,3
Joey Gallo,2023,29,0.5,1.54,1.04,1.04,1
Joey Gallo,2024,30,0.2,1.5,1.3,1.3,2
Jon Berti,2023,33,2.2,1.54,-0.66,0.66,1
Jon Berti,2024,34,0.7,1.29,0.59,0.59,2
Jon Berti,2025,35,0.2,1.19,0.99,0.99,3
Jordan Luplow,2023,29,0.0,1.04,1.04,1.04,1
Jorge Mateo,2023,28,0.8,2.04,1.24,1.24,1
Jorge Mateo,2024,29,0.8,1.78,0.98,0.98,2
Jorge Polanco,2023,29,1.9,1.92,0.02,0.02,1
Jorge Polanco,2024,30,1.3,1.68,0.38,0.38,2
Jorge Polanco,2025,31,2.6,1.57,-1.03,1.03,3
Jorge Soler,2023,31,1.5,0.92,-0.58,0.58,1
Jorge Soler,2024,32,1.1,0.9,-0.2,0.2,2
Jose Altuve,2023,33,2.8,3.16,0.36,0.36,1
Jose Altuve,2024,34,3.2,2.68,-0.52,0.52,2
Jose Altuve,2025,35,0.5,2.46,1.96,1.96,3
Jose Iglesias,2024,34,3.0,1.13,-1.87,1.87,2
Jose Trevino,2023,30,0.5,1.27,0.77,0.77,1
Jose Trevino,2024,31,0.6,1.17,0.57,0.57,2
Josh Bell,2025,32,0.5,2.06,1.56,1.56,3
Josh Donaldson,2023,37,0.1,1.4,1.3,1.3,1
Josh Naylor,2023,26,2.3,1.68,-0.62,0.62,1
Josh Naylor,2024,27,1.5,1.64,0.14,0.14,2
Josh Naylor,2025,28,3.1,1.53,-1.57,1.57,3
Josh Rojas,2023,29,0.5,2.13,1.63,1.63,1
Josh Rojas,2024,30,2.1,1.87,-0.23,0.23,2
JosÃ© RamÃ­rez,2023,30,4.9,4.32,-0.58,0.58,1
JosÃ© RamÃ­rez,2024,31,6.8,3.72,-3.08,3.08,2
JosÃ© RamÃ­rez,2025,32,5.8,3.47,-2.33,2.33,3
Juan Soto,2023,24,5.3,4.53,-0.77,0.77,1
Juan Soto,2024,25,8.0,4.22,-3.78,3.78,2
Juan Soto,2025,26,6.2,4.18,-2.02,2.02,3
Jurickson Profar,2024,31,3.6,1.74,-1.86,1.86,2
Jurickson Profar,2025,32,1.1,1.64,0.54,0.54,3
Justin Turner,2023,38,2.1,1.52,-0.58,0.58,1
Justin Turner,2024,39,1.4,1.35,-0.05,0.05,2
Ke'Bryan Hayes,2023,26,3.9,3.43,-0.47,0.47,1
Ke'Bryan Hayes,2024,27,0.9,3.21,2.31,2.31,2
Ke'Bryan Hayes,2025,28,1.5,3.06,1.56,1.56,3
Keibert Ruiz,2023,24,1.4,1.98,0.58,0.58,1
Keibert Ruiz,2024,25,0.6,2.0,1.4,1.4,2
Keibert Ruiz,2025,26,0.8,1.88,1.08,1.08,3
Ketel Marte,2023,29,4.9,1.49,-3.41,3.41,1
Ketel Marte,2024,30,6.8,1.41,-5.39,5.39,2
Ketel Marte,2025,31,4.4,1.32,-3.08,3.08,3
Kevin Kiermaier,2023,33,3.8,1.62,-2.18,2.18,1
Kevin Kiermaier,2024,34,0.9,1.62,0.72,0.72,2
Kevin Newman,2024,30,2.2,1.53,-0.67,0.67,2
Kevin Pillar,2024,35,0.3,0.65,0.35,0.35,2
KikÃ© HernÃ¡ndez,2024,32,1.2,1.61,0.41,0.41,2
KikÃ© HernÃ¡ndez,2025,33,0.2,1.61,1.41,1.41,3
Kole Calhoun,2023,35,0.0,1.36,1.36,1.36,1
Kyle Farmer,2023,32,1.7,0.99,-0.71,0.71,1
Kyle Higashioka,2024,34,1.4,0.64,-0.76,0.76,2
Kyle Higashioka,2025,35,1.6,0.52,-1.08,1.08,3
Kyle Isbel,2023,26,2.0,0.88,-1.12,1.12,1
Kyle Isbel,2024,27,2.0,0.83,-1.17,1.17,2
Kyle Isbel,2025,28,1.6,0.74,-0.86,0.86,3
Kyle Schwarber,2023,30,0.7,1.46,0.76,0.76,1
Kyle Schwarber,2024,31,3.3,1.22,-2.08,2.08,2
Kyle Schwarber,2025,32,4.6,1.09,-3.51,3.51,3
Kyle Tucker,2023,26,5.5,4.29,-1.21,1.21,1
Kyle Tucker,2024,27,4.6,3.93,-0.67,0.67,2
Kyle Tucker,2025,28,4.6,3.79,-0.81,0.81,3
LaMonte Wade Jr.,2023,29,2.8,1.09,-1.71,1.71,1
LaMonte Wade Jr.,2024,30,2.0,1.12,-0.88,0.88,2
Lane Thomas,2023,27,3.3,1.5,-1.8,1.8,1
Lane Thomas,2024,28,0.3,1.45,1.15,1.15,2
Lars Nootbaar,2023,25,3.3,2.62,-0.68,0.68,1
Lars Nootbaar,2024,26,1.6,2.42,0.82,0.82,2
Lars Nootbaar,2025,27,1.3,2.23,0.93,0.93,3
Leody Taveras,2023,24,2.9,1.46,-1.44,1.44,1
Leody Taveras,2024,25,0.7,1.56,0.86,0.86,2
Lourdes Gurriel Jr.,2023,29,2.9,1.52,-1.38,1.38,1
Lourdes Gurriel Jr.,2024,30,1.9,1.33,-0.57,0.57,2
Lourdes Gurriel Jr.,2025,31,0.5,1.28,0.78,0.78,3
Luis Arraez,2023,26,4.6,2.74,-1.86,1.86,1
Luis Arraez,2024,27,1.1,2.51,1.41,1.41,2
Luis Arraez,2025,28,1.2,2.36,1.16,1.16,3
Luis GarcÃ­a Jr.,2023,23,0.7,1.37,0.67,0.67,1
Luis GarcÃ­a Jr.,2024,24,2.2,1.62,-0.58,0.58,2
Luis GarcÃ­a Jr.,2025,25,0.4,1.71,1.31,1.31,3
Luis Guillorme,2024,29,0.2,1.43,1.23,1.23,2
Luis Guillorme,2024,29,0.1,1.43,1.33,1.33,2
Luis Rengifo,2023,26,1.9,1.94,0.04,0.04,1
Luis Rengifo,2024,27,1.8,1.81,0.01,0.01,2
Luis Rengifo,2025,28,0.4,1.72,1.32,1.32,3
Luis Robert Jr.,2023,25,5.3,3.08,-2.22,2.22,1
Luis Robert Jr.,2024,26,1.3,3.21,1.91,1.91,2
Luis Robert Jr.,2025,27,1.4,3.05,1.65,1.65,3
Luis Torrens,2024,28,0.7,0.77,0.07,0.07,2
Luis Torrens,2025,29,1.4,0.74,-0.66,0.66,3
Luis UrÃ­as,2024,27,0.4,1.57,1.17,1.17,2
Luis UrÃ­as,2025,28,0.5,1.36,0.86,0.86,3
Luke Maile,2023,32,0.8,0.58,-0.22,0.22,1
