name,season,age,actual_war,predicted_war,abs_error,error,yr_ahead
Francisco Mejia,2023,27,0.1,0.85,0.75,0.75,1
Freddie Freeman,2023,33,6.8,4.49,2.31,-2.31,1
Freddie Freeman,2024,34,4.5,3.96,0.54,-0.54,2
Freddie Freeman,2025,35,3.5,3.88,0.38,0.38,3
Garrett Hampson,2023,28,1.1,0.94,0.16,-0.16,1
Garrett Hampson,2024,29,0.5,0.93,0.43,0.43,2
Gary SÃ¡nchez,2023,30,2.1,1.09,1.01,-1.01,1
Gary SÃ¡nchez,2024,31,0.2,1.07,0.87,0.87,2
Gavin Lux,2024,26,2.0,2.04,0.04,0.04,2
George Springer,2023,33,2.0,3.26,1.26,1.26,1
George Springer,2024,34,0.9,3.16,2.26,2.26,2
George Springer,2025,35,4.8,2.91,1.89,-1.89,3
Giancarlo Stanton,2024,34,0.8,1.39,0.59,0.59,2
Giancarlo Stanton,2025,35,1.9,1.34,0.56,-0.56,3
Gio Urshela,2023,31,0.7,2.09,1.39,1.39,1
Gio Urshela,2024,32,0.6,1.95,1.35,1.35,2
Gleyber Torres,2023,26,2.9,2.27,0.63,-0.63,1
Gleyber Torres,2024,27,1.9,1.99,0.09,0.09,2
Gleyber Torres,2025,28,2.9,1.91,0.99,-0.99,3
Ha-Seong Kim,2023,27,5.4,3.66,1.74,-1.74,1
Ha-Seong Kim,2024,28,2.6,3.4,0.8,0.8,2
Ha-Seong Kim,2025,29,0.3,3.32,3.02,3.02,3
Hanser Alberto,2023,30,0.3,1.15,0.85,0.85,1
Harold RamÃ­rez,2023,28,2.0,1.23,0.77,-0.77,1
Harrison Bader,2023,29,0.6,2.16,1.56,1.56,1
Harrison Bader,2024,30,0.9,2.05,1.15,1.15,2
Harrison Bader,2025,31,3.9,1.95,1.95,-1.95,3
Hunter Renfroe,2024,32,0.1,1.44,1.34,1.34,2
Ian Happ,2023,28,3.5,2.32,1.18,-1.18,1
Ian Happ,2024,29,3.9,1.97,1.93,-1.93,2
Ian Happ,2025,30,4.0,1.83,2.17,-2.17,3
