player_id,name,position,bats,height_in,weight_lbs,sprint_speed,bmi,ISO,BB_pct,K_pct,wRC_plus,Def,BsR,OBP,SLG,contact_rate,power_speed,HR_rate,SB_rate,Rtot,Rdrs,peak_WAR,career_WAR,career_seasons,WAR_3yr_avg,debut_age,final_age,archetype_id,pca_x,pca_y,archetype_label
30,Adam Jones,DH,R,74.0,230,30.7025,29.5,0.17600000000000002,0.04808333333333333,0.18575,108.53755868544602,-3.4166666666666665,1.3333333333333333,0.31883333333333336,0.4539166666666667,0.81425,5.402475,0.052325,0.018016666666666667,0.16666666666666666,-3.8333333333333335,4.8,66.2,24,2.766666666666667,21,32,3,0.9110981466095479,-0.14783716957045892,Power Contact Hitter
31,Adam Kennedy,2B,R,71.5,185,30.762727272727272,25.4,0.10918181818181819,0.0710909090909091,0.14036363636363636,91.0,5.181818181818182,1.5454545454545454,0.3351818181818182,0.38627272727272727,0.8596363636363636,3.367954545454545,0.012509090909090909,0.029899999999999996,6.0,3.3636363636363638,4.5,45.6,22,2.0863636363636364,24,36,2,-2.4435136855582242,-2.177184096250998,Solid Contributor
32,Adam LaRoche,DH,R,74.0,230,26.736470588235292,29.5,0.21358823529411766,0.10223529411764706,0.22211764705882353,115.82352941176471,0.0,-1.6470588235294117,0.3420588235294118,0.48082352941176465,0.7778823529411765,5.701617647058823,0.04106470588235294,0.0020411764705882355,-1.1176470588235294,-0.23529411764705882,6.6000000000000005,34.2,17,1.9352941176470588,24,34,4,3.0016050763702276,-0.6419728698394357,Franchise Cornerstone
33,Adam Lind,DH,R,74.0,230,26.994,29.5,0.1833,0.0806,0.18109999999999998,114.56153846153845,-1.7,-0.1,0.3353,0.46230000000000004,0.8189,4.93089,0.056920000000000005,0.00943,0.5,-1.7,3.9,28.0,20,1.375,22,33,3,1.6254152239055562,-0.8834433036594339,Power Contact Hitter
34,Adam Melhuse,C,R,72.5,210,30.0,28.1,0.16866666666666666,0.07966666666666668,0.211,102.21705426356588,-1.0,-0.3333333333333333,0.31633333333333336,0.4343333333333333,0.789,5.0040000000000004,0.12303333333333333,0.0357,0.6666666666666666,-0.6666666666666666,1.0,4.2,6,0.75,31,33,0,0.1891100971801874,1.1055654640836408,Bench/Utility Role
35,Adam Piatt,RF,R,73.5,215,27.885,28.0,0.1795,0.10250000000000001,0.22949999999999998,109.0,-2.0,-1.0,0.34750000000000003,0.4455,0.7705,5.0021,0.030199999999999998,0.0066,-0.5,0.0,0.8,1.8,4,0.625,24,26,1,1.7110176433053434,-0.08150862001634074,High-K Power Threat
36,Adam Riggs,1B,R,74.5,225,31.5,28.5,0.15,0.085,0.215,97.22222222222223,-3.0,1.0,0.32,0.42,0.785,4.725,0.2083,0.0694,0.0,0.0,0.1,0.2,2,0.1,30,30,0,-0.7169100542893015,2.535522101080395,Bench/Utility Role
37,Adam Rosales,DH,R,74.0,230,29.302500000000002,29.5,0.16525,0.0855,0.25875,105.6509009009009,5.25,0.0,0.322,0.42325,0.74125,4.828749999999999,0.058675,0.0226,4.0,4.0,2.3,11.2,8,1.325,27,33,1,-0.11923429003534142,0.2639762077186931,High-K Power Threat
38,Adam Wainwright,DH,R,74.0,230,31.5,29.5,0.15,0.085,0.215,105.93726293651059,0.0,-0.4,0.32,0.42000000000000004,0.785,4.725,0.20883,0.06961999999999999,0.0,0.5,0.8,8.4,20,0.445,25,39,0,-0.5059956367725916,2.279313724141894,Bench/Utility Role
39,Addison Barger,DH,R,74.0,230,27.53,29.5,0.154,0.062,0.267,68.0,3.0,1.0,0.25,0.351,0.733,4.2396,0.0311,0.0089,-4.0,3.0,0.3,0.6,2,0.3,24,24,5,-2.492791422338214,1.338285874211463,Speedy Slap Hitter
40,Addison Russell,2B,R,71.5,185,28.782,25.4,0.1496,0.0832,0.24020000000000002,81.6,12.8,-0.4,0.3114,0.391,0.7598,4.29074,0.027860000000000003,0.00762,6.6,12.8,3.9,23.599999999999998,10,2.57,21,25,2,-2.095694054090416,-1.654922563613351,Solid Contributor
41,Adeiny HechavarrÃ­a,3B,R,73.5,210,29.585454545454546,27.3,0.11299999999999999,0.056545454545454545,0.17263636363636364,81.46914399469144,3.090909090909091,1.0909090909090908,0.30172727272727273,0.37418181818181817,0.8273636363636363,3.3393272727272727,0.02659090909090909,0.013081818181818182,1.2727272727272727,2.4545454545454546,2.6,14.2,11,1.1481818181818182,23,30,5,-2.7189122616943457,-0.9872441221618462,Speedy Slap Hitter
42,Adley Rutschman,DH,R,74.0,230,26.6325,29.5,0.15875,0.11825000000000001,0.16175,113.5,1.75,0.25,0.34025,0.40925,0.8382499999999999,4.237125000000001,0.024925,0.0029000000000000002,2.5,8.5,5.4,34.2,8,4.4125,24,26,2,0.8088887113122994,-3.358883133718626,Solid Contributor
43,Adolis GarcÃ­a,DH,R,74.0,230,30.156,29.5,0.2052,0.06739999999999999,0.2786,105.2,6.0,2.0,0.29379999999999995,0.4424,0.7213999999999999,6.18754,0.044379999999999996,0.02318,8.2,8.0,4.5,34.6,10,3.4,28,31,2,0.0961025266255966,0.0729976388170238,Solid Contributor
44,Adonis GarcÃ­a,3B,R,73.5,210,27.2,27.3,0.22,0.025,0.177,114.0,-5.0,-1.0,0.293,0.497,0.823,5.984,0.0505,0.0,0.0,-5.0,0.3,0.6,2,0.3,30,30,1,1.8723811364999634,0.2257128181999238,High-K Power Threat
45,Adrian BeltrÃ©,3B,R,73.5,210,28.18578947368421,27.3,0.19536842105263158,0.06847368421052631,0.14126315789473684,119.6842105263158,10.842105263157896,0.3684210526315789,0.33942105263157896,0.483,0.8587368421052631,5.479994736842105,0.03980526315789473,0.009031578947368422,8.157894736842104,10.68421052631579,9.6,179.6,38,4.776315789473684,21,39,2,0.8070940840311827,-3.9148392748647174,Solid Contributor
46,Adrian Brown,DH,R,74.0,230,31.5,29.5,0.117,0.085,0.1,106.0,-4.0,4.0,0.373,0.432,0.9,3.6855,0.0118,0.0382,-4.0,0.0,1.6,3.2,2,1.6,26,26,3,-0.4054961953814442,-1.7829725075664618,Power Contact Hitter
47,Adrian Del Castillo,C,R,72.5,210,31.5,28.1,0.15,0.085,0.215,102.29885057471265,-3.0,-1.0,0.32,0.42,0.785,4.725,0.1724,0.0575,0.0,0.0,0.5,1.0,2,0.5,24,24,0,-0.2605381252249827,2.0548557035983457,Bench/Utility Role
48,AdriÃ¡n GonzÃ¡lez,1B,R,74.5,225,26.595238095238095,28.5,0.20523809523809522,0.10109523809523809,0.17347619047619048,135.95238095238096,6.571428571428571,-2.7142857142857144,0.36457142857142855,0.49633333333333335,0.8265238095238094,5.458661904761905,0.04057142857142857,0.0006428571428571428,9.428571428571429,7.238095238095238,7.4,91.4,21,4.40952380952381,24,34,4,2.90989284235558,-3.644999734918248,Franchise Cornerstone
49,AdriÃ¡n Sanchez,DH,R,74.0,230,31.5,29.5,0.15,0.085,0.215,101.33333333333333,4.0,-1.0,0.32,0.42,0.785,4.725,0.2,0.0667,0.0,0.0,0.3,0.6,2,0.3,26,26,0,-0.7614941828363381,2.0990790499655168,Bench/Utility Role
50,Adron Chambers,DH,R,74.0,230,31.5,29.5,0.15,0.085,0.215,100.0,4.0,0.0,0.32,0.42,0.785,4.725,0.2419,0.0806,0.0,0.0,0.2,0.4,2,0.2,25,25,0,-0.9947935464215022,2.551836271725524,Bench/Utility Role
51,Akil Baddoo,DH,R,74.0,230,30.7,29.5,0.1365,0.10200000000000001,0.25325,89.39985994397759,1.75,1.5,0.31225,0.37424999999999997,0.74675,4.17975,0.027475,0.03305,3.75,1.25,2.1,7.4,8,1.1,22,24,5,-1.427805433946623,0.7076579532664075,Speedy Slap Hitter
52,Akinori Iwamura,3B,R,73.5,210,30.473333333333333,27.3,0.11033333333333334,0.09833333333333334,0.18599999999999997,100.0,-1.6666666666666667,1.0,0.35433333333333333,0.39366666666666666,0.8140000000000001,3.3601333333333336,0.008266666666666667,0.022466666666666666,-1.0,-1.6666666666666667,3.1,13.200000000000001,6,2.35,28,30,3,-0.4114406379772551,-1.0771303828877419,Power Contact Hitter
53,Al Leiter,DH,R,74.0,230,31.5,29.5,0.15,0.085,0.215,104.6875,0.0,-1.0,0.32,0.42,0.785,4.725,0.2344,0.0781,0.0,0.0,0.3,0.6,2,0.3,36,36,0,-0.5353066875195168,2.618304546365924,Bench/Utility Role
54,Al Martin,DH,R,74.0,230,29.456666666666667,29.5,0.14966666666666664,0.09900000000000002,0.17566666666666667,93.33333333333333,0.3333333333333333,-1.0,0.33266666666666667,0.4053333333333333,0.8243333333333333,4.3928666666666665,0.01916666666666667,0.02173333333333333,-3.3333333333333335,0.0,1.1,3.1,3,0.9766666666666667,32,33,3,-0.08383616429898619,-0.5284568403202293,Power Contact Hitter
55,Alan Trejo,SS,R,72.5,190,30.166666666666668,25.4,0.13699999999999998,0.08,0.21833333333333335,83.5856093979442,1.0,0.6666666666666666,0.3093333333333333,0.39433333333333337,0.7816666666666667,4.1415,0.0679,0.027999999999999997,1.3333333333333333,1.0,0.2,0.8,6,0.15,26,27,5,-1.6284980093588792,0.7588924898258724,Speedy Slap Hitter
56,Albert Almora,DH,R,74.0,230,27.22,29.5,0.136,0.056,0.176,90.75,6.25,0.25,0.31275,0.40675,0.824,3.6915,0.020525,0.0045000000000000005,6.25,6.25,2.2,9.8,8,1.2375,22,28,2,-1.9387794286224254,-2.085718707730806,Solid Contributor
57,Albert Belle,DH,R,74.0,230,26.2,29.5,0.193,0.084,0.109,104.0,-5.0,-4.0,0.342,0.474,0.891,5.0566,0.037,0.0,-5.0,0.0,0.6,1.2,2,0.6,33,33,3,2.157334993772463,-1.769320082979626,Power Contact Hitter
58,Albert Pujols,3B,R,73.5,210,27.84842105263158,27.3,0.2544736842105263,0.10763157894736841,0.10610526315789474,151.73684210526315,7.368421052631579,0.15789473684210525,0.3785263157894737,0.5546315789473685,0.8938947368421054,7.120463157894737,0.05471052631578948,0.008889473684210525,5.421052631578948,7.2631578947368425,9.7,208.0,38,5.592105263157895,21,42,4,4.694605036586357,-4.4301942119072555,Franchise Cornerstone
59,Alberto Callaspo,DH,R,74.0,230,27.71,29.5,0.10529999999999999,0.0913,0.0847,106.4,-1.5,-0.3,0.3463,0.3871,0.9153,2.9216,0.011359999999999999,0.00728,3.7,-2.3,3.5,25.8,10,2.493,25,30,3,-0.6843085964143629,-3.497361428397125,Power Contact Hitter
60,Alberto Castillo,C,R,72.5,210,30.21666666666667,28.1,0.133,0.09133333333333334,0.207,88.57142857142857,1.6666666666666667,-0.6666666666666666,0.3096666666666667,0.38233333333333336,0.793,4.0624666666666664,0.09673333333333334,0.0332,3.3333333333333335,2.6666666666666665,0.9,2.3,3,0.7233333333333333,34,35,5,-1.626860526042618,0.4263951500647075,Speedy Slap Hitter
61,Alberto GonzÃ¡lez,DH,R,74.0,230,27.316666666666666,29.5,0.08600000000000001,0.05166666666666667,0.17300000000000001,65.85119047619048,5.0,-1.3333333333333333,0.2913333333333334,0.3406666666666667,0.827,2.4207,0.022333333333333334,0.0074333333333333335,4.0,6.0,0.4,0.6000000000000001,3,0.2833333333333334,25,27,5,-4.18265788594106,-1.540581456862693,Speedy Slap Hitter
62,Alcides Escobar,SS,R,72.5,190,31.212222222222223,25.4,0.08544444444444445,0.041555555555555554,0.1351111111111111,75.88888888888889,1.5555555555555556,2.5555555555555554,0.30477777777777776,0.3531111111111111,0.8648888888888888,2.6597222222222223,0.007377777777777778,0.03211111111111111,-2.4444444444444446,1.5555555555555556,3.4,26.8,18,1.4166666666666667,22,34,5,-3.832133996050946,-1.1051575159454678,Speedy Slap Hitter
63,Alec Bohm,3B,R,73.5,210,28.004,27.3,0.1432,0.06620000000000001,0.1666,114.0,-9.6,-1.6,0.341,0.4346,0.8333999999999999,4.0159199999999995,0.02366,0.00538,-3.6,-7.8,2.8,10.8,10,1.1,23,27,3,1.5064551881932178,-0.4929242208977409,Power Contact Hitter
64,Alec Burleson,DH,R,74.0,230,28.47,29.5,0.152,0.059000000000000004,0.128,107.0,-3.0,1.0,0.314,0.42,0.872,4.3274,0.0353,0.0151,-1.0,-3.0,1.4,2.8,2,1.4,25,25,3,-0.13282578794885594,-1.2257569913943023,Power Contact Hitter
65,Aledmys DÃ­az,SS,R,72.5,190,27.795,25.4,0.1905,0.06116666666666667,0.1565,107.33333333333333,-0.8333333333333334,-1.3333333333333333,0.3143333333333333,0.4535,0.8435,5.31755,0.03763333333333333,0.004416666666666667,-1.6666666666666667,-0.8333333333333334,2.9,17.8,12,1.6333333333333335,25,31,3,1.1664859435285262,-1.0573001477033375,Power Contact Hitter
