name,season,actual_war,predicted_war,error,abs_error,tier
Carson Kelly,2023,0.1,0.94,0.84,0.84,0-1
Cavan Biggio,2023,0.6,1.72,1.12,1.12,0-1
Cedric Mullins,2023,2.8,3.22,0.4200000000000004,0.4200000000000004,2-3
Charlie Blackmon,2023,1.4,0.67,-0.7299999999999999,0.7299999999999999,1-2
Chas McCormick,2023,3.4,2.23,-1.17,1.17,3-4
Chris Taylor,2023,1.5,1.77,0.27,0.27,1-2
Christian Walker,2023,3.7,2.49,-1.21,1.21,3-4
Christian Yelich,2023,3.5,2.0,-1.5,1.5,3-4
Cody Bellinger,2023,4.8,3.1,-1.6999999999999997,1.6999999999999997,4-5
Connor Joe,2023,0.7,1.64,0.94,0.94,0-1
Corey Seager,2023,7.2,3.77,-3.43,3.43,6+
Curt Casali,2023,0.1,1.05,0.9500000000000001,0.9500000000000001,0-1
DJ LeMahieu,2023,1.3,2.69,1.39,1.39,1-2
Daniel Vogelbach,2023,0.2,1.17,0.97,0.97,0-1
Danny Jansen,2023,1.6,1.87,0.27,0.27,1-2
Dansby Swanson,2023,5.2,3.83,-1.37,1.37,5-6
Daulton Varsho,2023,3.6,3.06,-0.54,0.54,3-4
David Fletcher,2023,0.1,1.94,1.8399999999999999,1.8399999999999999,0-1
David Peralta,2023,0.7,1.15,0.44999999999999996,0.44999999999999996,0-1
Dominic Smith,2023,0.9,3.09,2.19,2.19,0-1
Donovan Solano,2023,1.6,0.93,-0.67,0.67,1-2
Dylan Carlson,2023,0.5,1.7,1.2,1.2,0-1
Dylan Moore,2023,0.5,1.82,1.32,1.32,0-1
Eddie Rosario,2023,1.2,1.93,0.73,0.73,1-2
Edmundo Sosa,2023,0.6,1.46,0.86,0.86,0-1
Elias DÃ­az,2023,1.5,0.56,-0.94,0.94,1-2
Eloy JimÃ©nez,2023,0.5,1.9,1.4,1.4,0-1
Elvis Andrus,2023,0.7,2.0,1.3,1.3,0-1
Emmanuel Rivera,2023,0.2,1.06,0.8600000000000001,0.8600000000000001,0-1
Eugenio SuÃ¡rez,2023,2.4,2.01,-0.3900000000000001,0.3900000000000001,2-3
Evan Longoria,2023,0.4,1.19,0.7899999999999999,0.7899999999999999,0-1
Fernando Tatis Jr.,2023,5.2,6.9,1.7000000000000002,1.7000000000000002,5-6
Francisco Lindor,2023,6.1,3.46,-2.6399999999999997,2.6399999999999997,6+
Francisco Mejia,2023,0.1,1.1,1.0,1.0,0-1
Freddie Freeman,2023,6.8,4.66,-2.1399999999999997,2.1399999999999997,6+
Garrett Hampson,2023,1.1,1.01,-0.09000000000000008,0.09000000000000008,1-2
Gary SÃ¡nchez,2023,2.1,1.12,-0.98,0.98,2-3
George Springer,2023,2.0,3.4,1.4,1.4,1-2
